gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
PBX2	295.18	174.31	128.4	113.85	216.85	245.77	189.64	155.11	120.62	111.22	65.01	50.56	220.02	163.39	226.18	84.99	56.31	110.05	34.73	143.36	20.86	195.09	105.96	65.98	97.07	87.75	105.37	8.8	44.02	155.61	20.66	63.29
GPSM3	196.6	126.31	87.04	80.91	135.34	176.78	122.77	91.25	85.78	83.43	34.69	25.06	165.04	110.87	152.48	65.27	39.01	71.83	17.31	84.21	14.49	150.1	88.74	46.22	56.96	77.06	75.87	4.61	27.67	104.59	10.91	44.39
NOTCH4	201.65	125.87	99.18	79.96	172.98	187.96	151.41	124.85	103.28	85.58	43.07	59.75	159.88	130.85	165.21	77.19	63.5	92.69	40.65	135.72	30.13	168.9	95.58	55.22	78.84	85.62	88.99	10.54	53.33	142.48	35.07	65.63
TSBP1	199.52	135.51	94.86	85.41	160.81	154.8	127.52	117.14	99.92	81.72	36.07	56.72	151.94	130.31	143.73	55.88	31.55	69.55	20.21	79.32	13.49	108.99	68.81	28.45	45.27	57.87	63.03	6.61	34.92	83.09	14.87	38.43
BTNL2	240.13	158.82	114.8	100.73	184.82	198.2	144.53	150.42	112.9	98.6	42.65	65.61	187.94	167.54	171.65	74.75	42.67	85.05	34.29	101.12	15.12	145.88	92.1	39.83	72.64	87.04	85.63	9.18	42.67	101.42	21.41	54.92
HLA-DRB5	611.44	558.22	293.09	386.88	626.81	506.82	604.71	335.91	565.06	392.44	169.93	269.35	583.76	634.29	757.74	334.6	148.11	290.13	31.66	246.22	45.64	567.44	273.59	142.95	244.76	169.33	384.01	18.73	140.68	319.63	80.24	154.67
HLA-DRB1	1001.15	689.93	459.51	408.24	1405.03	1130.87	595.39	788.34	402.03	620.03	377.21	390.63	1352.76	965.54	775.72	280.64	352.49	311.7	114.4	428.71	112.66	907	639.04	147.01	518.39	427.89	380.73	52.52	326.71	511.45	87.32	229.95
HLA-DQA1	579.77	369.84	274.45	240.19	462.55	503.1	329.33	320.62	307.8	241.06	110.8	157.46	440.42	400.53	443.61	174.56	97.71	212.58	60.34	272.63	36.72	451.06	239.3	96.05	210.6	207.97	236.46	26.16	96.08	257.12	38.44	130.24
HLA-DQB1	856.19	575.61	371.88	275.6	616.97	860.23	370.23	403.05	472.36	457.69	156.76	231.85	710.18	714.78	511.57	217.72	180.58	457.58	102.96	490.56	73.83	759.68	481.69	222.99	407.05	441.41	397.53	74.39	266.95	518.2	87.25	247.53
HLA-DQA2	726.07	485.09	323.59	297.5	570.3	590.9	451.39	428.07	350.23	275.63	127.79	210.59	559.71	484.03	500.65	218.01	116.28	241.97	80.75	336.75	44.21	424.42	234.87	119.45	174.8	210.52	235.73	22.5	133.12	324.4	62.17	158.37
HLA-DQB2	513.5	345.49	247.72	207.12	434.95	479.75	400.92	336.23	245.89	211.5	103.36	151.39	412.02	327.79	403.79	166.28	120.87	204.7	52.24	257.64	37.74	351.05	199.9	93.66	145.62	182.68	191.07	15.65	99.87	293.83	36.53	116.48
HLA-DPA1	1154.39	768.38	549.97	487.15	898.17	1004.75	712.4	694.19	627.98	450.44	238.97	276.79	878.81	738.16	915.26	381.31	212.86	423.04	129.25	476.04	79.64	708.7	387.42	190.92	331.96	361.66	367.38	45.21	209.93	552.82	98.08	254.34
HLA-DPB1	734.59	511.43	366.96	308.06	596.45	645.1	513.13	460.93	384.33	280.67	151.93	185.34	574.8	477.75	574.19	255.29	131.35	258.48	90.47	349.6	51.94	454.27	239.91	138.49	209.85	250.62	248.11	34.15	136.55	387.92	65.02	171.41
