gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
NFKBIL1	283.45	212.15	99.07	94.02	197.9	183.75	144.64	132.18	101.21	148.89	44.49	69.71	216.91	153.52	175.33	93.59	121.77	251.72	70.87	312.2	63.85	418.17	231.55	89.51	157.49	245.72	279.71	31.81	138.93	367.63	39.24	178.42
LTA	401.08	290.33	136.48	150.93	265.93	300.38	222.71	203.06	138.22	208.16	76.8	86.75	342.01	212.33	262.01	135.94	212.91	381.44	160.93	579.42	123.98	648.79	459.14	204.68	303.45	396.25	466.04	77.63	231.68	581.26	95.28	273.18
TNF	467.82	342.79	157.75	164.67	320.15	303.7	275.49	228.37	167.78	266.07	80.8	118.07	412.76	258.65	317.46	137.69	223.1	542.38	127.24	689.71	134.82	802.46	578.27	242.99	341.64	460.57	619.23	72.99	241.72	737.27	87.27	387.95
LTB	372.82	256.85	117.9	117.94	222.87	227.27	148.13	202.97	123.31	217.06	61.42	75.19	272.57	184.79	224.64	119.51	152.45	331.18	92.81	475.93	89.72	580.44	426.47	154.96	204.66	349.19	367.41	52.35	159.88	544.44	45.06	266.59
LST1	397.79	292.81	146.91	151.57	265.88	277.37	207.05	213.38	110.64	239.35	79.59	115.01	336.37	255.88	255.31	141.84	216.92	383	155.13	537.49	94.73	582.04	407.95	207.43	243.58	397.81	476.6	48.71	206.46	666.37	47.04	299.9
NCR3	342.24	234.62	120.56	100.31	209.97	230.95	178.64	184.84	108.13	193.72	63.38	107.45	271.19	184.81	210.63	104.96	148.41	252.3	79.12	417.43	77.44	433.71	304.39	134.56	169.57	278.38	342.48	26.51	116.33	365.48	42.9	156.09
AIF1	372.3	235.08	122.98	130.35	223.58	230.56	197.62	176.8	121.52	219.56	47.7	119.39	287.85	215.21	194.11	114.47	167.61	349.43	91.35	438.33	78.73	503.31	339.55	173.12	193.49	255.3	371.84	40.44	143.87	531.45	45.65	236.09
PRRC2A	360.77	283.59	122.71	124.89	244.15	244.35	226.34	209.68	124.85	205.04	67.91	117.23	300.5	209.26	236.08	126.79	195.33	392.9	105.98	565.92	102.56	576.46	382.64	188.02	273.56	330.18	416.6	59.49	189.81	595.53	60.89	233.3
ENSG00000291302	272.07	247.67	92.48	94.2	195.11	182.98	151.78	121.46	93.03	162.52	38.4	76.2	236.68	147.63	173.82	122.15	153.61	373.64	87.36	433.71	98.43	491.32	292.11	136.97	265.34	235.08	332.14	50.16	166.87	475.78	63.41	191.74
ENSG00000289282	335.6	273.83	114.91	107.67	231.5	194.56	193.29	170.44	105.52	178.52	59.54	72.47	228.4	165.84	200.47	109.56	137.02	330.14	100.35	478.79	75.09	423.98	283.3	149.62	256.89	289.45	281.33	53.71	137.37	492.83	49.3	133.89
